date,arapiranga,belem,carateua,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao_pedro
2019-01-01,0.03229836562386232,0.03205961511918406,0.029842475429177284,0.02919520448833148,0.03335493956544243,0.03233659267425537,0.02693635823589057,0.032571922699442604,0.02651859367305092,0.029842475429177284,0.029842475429177284,0.02988419671399815,0.02957513514027748,0.029842475429177284,0.02989381003787642
2019-01-02,0.02876684489693605,0.02877112564222373,0.02908056192072444,0.02983257894568384,0.029196657240390778,0.028775444254279137,0.030589177370662225,0.028945878140973033,0.029775639789090806,0.02917995752049748,0.02875610999763012,0.03084550846897393,0.029765939339995384,0.028911385891064373,0.030692091549865623
2019-01-03,0.032129410957550376,0.02748045259055187,0.029895536537603778,0.028130228248227435,0.02710867135901736,0.022054698858572513,0.026708759153606026,0.02883132981359223,0.030519232327453592,0.024837836266416977,0.02411982163496744,0.028086848187926037,0.029787712371398982,0.024348075358666416,0.031490373061854815
2019-01-04,0.029143808584476502,0.027642121507157443,0.0304076854754337,0.03372208306461769,0.03273858897011608,0.024699989393483376,0.03361750972421309,0.030648953080314803,0.03354187717807347,0.03222583496928455,0.03222984820604324,0.03241137427643926,0.031142000307068204,0.03222982682515799,0.03411155939102173
2019-01-05,0.033885352395854426,0.02826294105175664,0.029378058092862785,0.03256936349309751,0.029319781561171467,0.02734527992839424,0.035082848365926934,0.03528297841459073,0.0273737622518501,0.026562571733749436,0.030113987371952578,0.028533541572125502,0.031326227692598504,0.0301407377892279,0.03033039160072803
2019-01-06,0.03486487506051457,0.030840068901255208,0.03078664198654918,0.03307264904404527,0.03127394548999687,0.029990570463305104,0.034746542661568486,0.031782419417830714,0.027213589771469805,0.029460486163401953,0.0316461490434641,0.03031336120888922,0.030362202005394707,0.0318459302003876,0.03017675410956144
2019-01-07,0.03507314171545765,0.03341719675075378,0.03219522588023557,0.03357593459499302,0.033228109418822274,0.03263586099821597,0.034410236957210044,0.03368334660107099,0.027053417291089513,0.03235840059305447,0.033178310714975616,0.03209318084565294,0.029398176318190906,0.03355112261154729,0.03002311661839485
2019-01-08,0.03528140837040072,0.03599432460025234,0.03360380977392197,0.03407922014594078,0.035182273347647675,0.03528115153312683,0.0340739312528516,0.03558427378431126,0.02689324481070922,0.035256315022706985,0.03471047238648714,0.033873000482416656,0.028434150630987108,0.035256315022706985,0.02986947912722826
2019-01-09,0.03496735025569612,0.031346305851374115,0.032030523186171805,0.030439301377574772,0.030571935087814976,0.031588174402713776,0.030601905981831285,0.033110807569721366,0.026733072330328924,0.030121561139822006,0.03624263405799866,0.030820402326357767,0.02747012494378331,0.030314943258643225,0.02971584163606167
2019-01-10,0.035266127437353134,0.029095792243901873,0.03403613548241295,0.029059946031211724,0.03180582941262503,0.029683296599695933,0.029770198119286488,0.03332034791899739,0.028543296192134877,0.03308165445923805,0.029683358967304237,0.03099670564545125,0.028988962993025787,0.03185346458175106,0.031011489036182303
2019-01-11,0.030725952237844467,0.0360417477786541,0.0360417477786541,0.030318371705482346,0.03303972373743509,0.03052514731467423,0.030638655336210935,0.030725952237844464,0.03035352005394083,0.0360417477786541,0.03417766192159588,0.031173008964544734,0.030571550005125382,0.033391985904858895,0.03230713643630294
2019-01-12,0.031470422807091586,0.03417811022773203,0.03415505029261112,0.03157679737975297,0.03405368021032517,0.03136699802965252,0.031507112553135375,0.03164789616761608,0.03216374391574678,0.036570095873519996,0.03516156121758566,0.031349312283638214,0.032154137017224985,0.0344204417835129,0.03360278383642357
2019-01-13,0.0322148933763387,0.03231447267680996,0.032268352806568146,0.03283522305402359,0.03506763668321526,0.032208848744630814,0.03237556977005982,0.032569840097387705,0.03397396777755273,0.03709844396838589,0.03614546051357544,0.0315256156027317,0.03373672402932457,0.035448897662166905,0.03489843123654421
2019-01-14,0.03398489202731634,0.034027228861714234,0.03419479871447792,0.03291543827692031,0.036081593156105346,0.03401808626949787,0.032913271337747574,0.03292036473912867,0.0329207219183445,0.03762679206325178,0.03712935980956522,0.032625079642937815,0.0329207219183445,0.03647735354082091,0.036194078636664836
2019-01-15,0.03575489067829397,0.0357399850466185,0.03612124462238769,0.03452776593066658,0.03709554962899543,0.03582732379436493,0.034510842521337994,0.03520065997634162,0.03445368035214169,0.038155140158117676,0.038113259105555,0.034518587603237394,0.03454221268404333,0.03750580941947492,0.03748972603678547
2019-01-16,0.0375248893292716,0.03745274123152277,0.038047690530297454,0.036140093584412857,0.03810950610188552,0.037636561319231994,0.03610841370492842,0.03748095521355458,0.035986638785938885,0.03868348825298357,0.03909715840154478,0.03641209556353698,0.036163703449742166,0.03853426529812892,0.038785373436906107
2019-01-17,0.039294887980249237,0.039165497416427046,0.03997413643820722,0.037752421238159126,0.0391234625747756,0.03944579884409905,0.03770598488851883,0.03976125045076753,0.03751959721973608,0.03921183634784946,0.04008105769753456,0.038305603523836565,0.037785194215441,0.03956272117678293,0.04008102083702674
2019-01-18,0.036072932180009364,0.03699529263750067,0.03630217535564127,0.03800489873702165,0.0441542268958134,0.03592550382018089,0.03839925730908412,0.03769839721873268,0.03797684917906055,0.03643190488219261,0.03643190488219261,0.03606117144227028,0.03797541931271553,0.03643190488219261,0.03606117144227028
2019-01-19,0.035730157615653714,0.03631822302753492,0.035166240702329314,0.037888496142756835,0.049184991216851194,0.03644154407083988,0.039135782041226516,0.03685651825078275,0.03656009219389332,0.037149999087482156,0.03675366421604134,0.035462713827377666,0.036126209225593474,0.03689720088493225,0.03520053819916894
