date,arapiranga,belem,carateua,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
2019-01-01,0.11439606865806438,0.11513868125561308,0.11538101280332831,0.11592728779054622,0.11588780177280271,0.11518579484391514,0.11599361454543833,0.11531524119103766,0.11612672982363188,0.11621666694039146,0.115909258101439,0.11436296240263483,0.11597224889670284,0.11621666699647903,0.11515718447103311
2019-01-02,0.11532816984837853,0.11501795853623763,0.11542042098658069,0.1151324530428065,0.11535590737769992,0.11549678062111192,0.11517786618640002,0.11544693375775711,0.1148200803269119,0.11596157401800156,0.11544938962227412,0.11534029974158644,0.11478416786501544,0.11584917722781031,0.11391657553080027
2019-01-03,0.11421863081166828,0.11615916401287248,0.11645328442783628,0.11514257824128629,0.11617074975032914,0.11732446268361371,0.11589960381260879,0.1161886515543466,0.1161886633514558,0.11524859697943257,0.1159205450603266,0.11574433194200609,0.1158394030496043,0.1159156155821671,0.11560678970058365
2019-01-04,0.11700443520326834,0.1164169309679874,0.11596489563631632,0.11681556955733736,0.11534821609358803,0.116897008049635,0.11618172653726179,0.1152935828663055,0.11629507742962365,0.11325731578681492,0.11742123003192809,0.11526734243450942,0.1164686471129578,0.11539907558776823,0.11600781345997405
2019-01-05,0.11564064813288913,0.11523915580546196,0.11558955184736136,0.11642449531733523,0.11609584078185534,0.1151980198993407,0.11711555414777489,0.11597216075242596,0.11583503084553563,0.11438650329566606,0.1144122456750477,0.11589135137242222,0.11544468490966661,0.1144446847740379,0.11614614581989915
2019-01-06,0.11745073448829015,0.11811019011747867,0.1191829667586376,0.11675774231933078,0.11973574097383953,0.11754872121387892,0.11819331253865312,0.11647055978714389,0.11633585879833122,0.12013407611518404,0.11866257475463625,0.11862898795306179,0.11589132249355316,0.11984405624872786,0.11886960199494652
2019-01-07,0.11717263226338553,0.11717689899767943,0.11902803355178253,0.11633598431786368,0.11843233316482166,0.11682097143231646,0.11705046412999055,0.11664164524401385,0.11606585600910005,0.11929954532945831,0.11802314309337202,0.11814182846730437,0.11574133982691143,0.11879770605910177,0.11872191755225818
2019-01-08,0.11689453003848092,0.11624360787788021,0.11887310034492746,0.11591422631639657,0.11712892535580376,0.11609322165075396,0.11590761572132795,0.1168127307008838,0.11579585321986888,0.11846501454373261,0.11738371143210778,0.11765466898154696,0.11559135716026965,0.11775135586947566,0.11857423310956984
2019-01-09,0.1149074441519778,0.11443535507371058,0.11456304185463921,0.11402139471443964,0.11526255433775195,0.11428950324346081,0.1142750422293675,0.11374562730910812,0.1148112313471019,0.11398862929146575,0.11506893945861457,0.11459654941193695,0.1136750279527091,0.11515223677343436,0.1150349731028538
2019-01-10,0.11654089700723128,0.11527029430174578,0.11549481853950436,0.11543674883869212,0.11648467836628541,0.11594993798457488,0.11625877716971471,0.11605989662308783,0.11609109486273181,0.11635539404902097,0.11697879774103276,0.11481245076362438,0.11600584517402907,0.11717823860559382,0.11360814308384748
2019-01-11,0.11314530718578857,0.11286037904204535,0.11294419738088692,0.11424091481771358,0.11275953709211836,0.11337199062108994,0.11409869236334771,0.11335132491901721,0.11511230934846702,0.11293929348337095,0.11268444643804272,0.1131362072697714,0.11530699979816493,0.112833405104732,0.11401989417954869
2019-01-12,0.11410677568237766,0.11362441266759829,0.11452598227175814,0.11513181896867998,0.11435835454651935,0.11385001987218857,0.11577894025089795,0.11509594349698449,0.11450202779458332,0.11301392692577981,0.11288264393806458,0.11307612238106352,0.11449710810040986,0.11297035948282518,0.1136430138951446
2019-01-13,0.11655833031720413,0.11558700211219093,0.1153945570331757,0.11638136144165347,0.11651997009189989,0.11648091673851012,0.11554129325945785,0.11591066354399543,0.11565079225549003,0.1164457032609356,0.11605551093816756,0.1154491297046447,0.1157667612581103,0.11616064663623979,0.11499713090988285
2019-01-14,0.11537363649424916,0.11551615167976323,0.11435213660855252,0.11330848526520738,0.11418792220834763,0.11743714660406113,0.11320813188798216,0.11496631196987082,0.11515932147791712,0.11465281202167524,0.11463826730552938,0.11666990922194796,0.11294170916510503,0.11456190406024391,0.11697056076161014
2019-01-15,0.11477428419933618,0.11507421795152503,0.11473820555902706,0.1152533424515906,0.11461041341106512,0.1145491053321776,0.11511208559215384,0.11545043612296675,0.11559698357713839,0.11523416702646808,0.11447843296851518,0.11452202861246834,0.11550293047900591,0.11449105934472503,0.11472179230946415
2019-01-16,0.11496532288152128,0.11437081528062598,0.11542466873071854,0.11489870068256465,0.11551627432095132,0.11336119065622509,0.11452463825453783,0.1138546419613032,0.11608615056801395,0.11587916634078216,0.11550854537689623,0.11486731331439927,0.11533075820229335,0.11586644330747181,0.11505960031744548
2019-01-17,0.11690388583846843,0.11407321274529161,0.1151318726901047,0.1155923762559989,0.11531016090906719,0.1136473141005607,0.11572840452109667,0.11527246796701332,0.11488914483552613,0.11555710271889565,0.11557049906588827,0.11441120015488891,0.11509053352063879,0.11556386563293378,0.11490847458369467
2019-01-18,0.11567888653378973,0.11557243729655432,0.1150138754763811,0.11561946781127784,0.115550870296355,0.11547442544991592,0.11571528741412827,0.11562389766470042,0.1138440564635379,0.1152599446979303,0.11456216798584351,0.11500096328185953,0.11395934024302108,0.11517563105175378,0.11558834965244423
2019-01-19,0.11441854177295016,0.1118587006475534,0.11589276229478102,0.11271232971038897,0.11759350219838775,0.11131702359834347,0.11647796498021412,0.1135254574500753,0.11580632690076875,0.1111430289306167,0.11195093199163653,0.11569241807420329,0.11256344544870481,0.11654366839762124,0.11693070737441709
