,arapiranga,belem,carateua,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
count,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0
mean,-0.98,-0.8,-0.97,-1.13,-1.09,-0.77,-1.14,-1.03,-1.21,-1.03,-0.92,-1.02,-1.19,-1.01,-1.04
std,0.9,0.83,0.86,0.89,0.86,0.89,0.89,0.87,0.89,0.87,0.89,0.83,0.9,0.87,0.91
min,-3.68,-2.95,-3.38,-3.59,-3.56,-3.62,-3.74,-3.77,-3.66,-3.72,-3.48,-3.71,-3.62,-3.5,-3.77
25%,-1.62,-1.43,-1.59,-1.79,-1.73,-1.43,-1.77,-1.65,-1.87,-1.64,-1.57,-1.64,-1.85,-1.66,-1.68
50%,-1.03,-0.89,-1.03,-1.19,-1.14,-0.8,-1.18,-1.08,-1.25,-1.08,-0.95,-1.09,-1.24,-1.05,-1.09
75%,-0.44,-0.27,-0.41,-0.55,-0.52,-0.24,-0.59,-0.47,-0.62,-0.45,-0.36,-0.47,-0.62,-0.43,-0.46
max,2.48,1.88,2.21,1.78,2.03,2.3,1.81,1.89,1.96,2.18,2.08,2.07,1.92,2.07,2.34
