date,belem,carateua,co_arapiranga,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
2019-01-12,2.800159471882502e-05,2.950230143333149e-05,3.209073356370713e-05,3.21090980136606e-05,5.1075523651926496e-05,3.355610897415317e-05,3.453686709236803e-05,2.399501406085979e-05,3.274164235556501e-05,3.685198493244077e-05,3.538717646733857e-05,2.9082462796740123e-05,3.4625659670557106e-05,3.6364457959952634e-05,3.642532547091229e-05
2019-01-13,3.929051663653986e-05,3.128116597540541e-05,3.169061008073655e-05,4.190667226061151e-05,3.364587773460852e-05,3.858687705360353e-05,3.848098120788277e-05,3.922740499714585e-05,4.168389660827024e-05,3.39864717903812e-05,3.577592724468559e-05,3.5435820200057065e-05,4.185159026209861e-05,3.529376591710558e-05,4.211023723828609e-05
2019-01-14,4.298093665538988e-05,3.993041232648788e-05,4.321440356957466e-05,3.733047462265134e-05,3.900699877651614e-05,4.304468529880978e-05,3.679682364398897e-05,4.06837431787689e-05,3.883666141630387e-05,4.1383840906466855e-05,4.4361206010105606e-05,4.800057715062309e-05,3.456366050366679e-05,4.342926003635571e-05,4.371160073388099e-05
2019-01-15,3.0157861452855562e-05,2.632206562166945e-05,2.7662154858146238e-05,3.669725703560297e-05,2.4351633148445342e-05,2.9473462068668088e-05,3.655893200813941e-05,2.98337509953106e-05,3.377105241899588e-05,2.6254245332967954e-05,3.1161177983152104e-05,2.9017938348793188e-05,3.166835573213576e-05,3.213841182234642e-05,2.698855593460739e-05
2019-01-16,3.261196670387825e-05,3.767326989812453e-05,2.327417782023652e-05,3.0039663573960914e-05,3.692434348061961e-05,2.4252068988181383e-05,2.450221206847516e-05,2.855333498866386e-05,4.313169894881422e-05,4.4925892865347115e-05,3.673678362724029e-05,3.22700276715747e-05,3.485990182590536e-05,3.930461395204228e-05,3.1904237404418205e-05
2019-01-17,3.234558126041225e-05,3.750242580266412e-05,4.360444482174728e-05,3.894274205676202e-05,3.366014728661617e-05,3.904710287766781e-05,4.446711938460315e-05,3.785645896803133e-05,3.311308245559775e-05,4.0222945233997325e-05,4.060281321710081e-05,3.53221800477297e-05,3.594128523781407e-05,4.04026784205275e-05,3.640045642003308e-05
2019-01-18,4.2155092270010804e-05,3.519787716377484e-05,3.912579035653393e-05,3.536718026523981e-05,3.647161462699174e-05,3.9277063856979854e-05,3.564664776385083e-05,4.129078961979503e-05,3.320713848321188e-05,3.737475535731875e-05,3.387774363355653e-05,3.772494231112284e-05,3.332730453783151e-05,3.6937125510058024e-05,3.454879100656857e-05
2019-01-19,2.896224946217199e-05,2.9976111165562072e-05,3.745393710178029e-05,3.0973205388096934e-05,3.1454381149902764e-05,4.1344521809686446e-05,3.834731064211315e-05,3.841097359583758e-05,3.342135380963382e-05,2.855408748549848e-05,2.733561453822348e-05,3.010624668474869e-05,3.349744145166929e-05,2.731193843935012e-05,2.868852425308432e-05
2019-01-20,2.9279513030924592e-05,3.133272594480152e-05,3.578208384702664e-05,2.6579230510954062e-05,3.744177702977291e-05,4.341197976239304e-05,4.1047973520375474e-05,3.553115757188013e-05,3.3635569136055774e-05,3.946333810941501e-05,5.024206303910306e-05,3.453823599090169e-05,3.3667578365507066e-05,4.9694734666074085e-05,3.8138716518644926e-05
2019-01-21,3.2975678464244355e-05,3.739598917344499e-05,3.572587723357874e-05,3.126210228553177e-05,3.491075247387937e-05,3.472153171268092e-05,3.007270104538636e-05,3.0407908576207172e-05,2.51878728480597e-05,3.2428275862959404e-05,3.172060776011748e-05,2.796180892156706e-05,2.9216614610591055e-05,3.115040949574488e-05,3.6516006218995344e-05
2019-01-22,3.742645094686921e-05,3.038297937527661e-05,3.5163883921118614e-05,3.33996544356515e-05,3.110139388327047e-05,3.77392738188098e-05,3.682009674232924e-05,3.6319490849077904e-05,3.407594824185748e-05,2.7253847261098643e-05,3.5033928128821345e-05,3.299884906452561e-05,3.193274460500106e-05,2.919604332677906e-05,3.1032971206390196e-05
2019-01-23,3.658845620687198e-05,3.3045712553409925e-05,3.5682061240087804e-05,3.3697593432550055e-05,3.2468222984323e-05,3.6285077713608846e-05,3.778185713339442e-05,3.638613435656567e-05,3.2408623939486624e-05,3.130640302818104e-05,3.457891341349694e-05,3.352671236148803e-05,3.314802950931389e-05,3.143605235534121e-05,3.3853613779697866e-05
2019-01-24,3.575046146687475e-05,3.570844573154323e-05,3.6200238559056995e-05,3.399553242944861e-05,3.3835052085375527e-05,3.483088160840789e-05,3.8743617524459605e-05,3.645277786405344e-05,3.0741299637115774e-05,3.535895879526344e-05,3.412389869817254e-05,3.405457565845045e-05,3.436331441362673e-05,3.367606138390335e-05,3.667425635300554e-05
2019-01-25,3.67856970111147e-05,3.561314938247087e-05,4.0605136276853214e-05,3.3206307099895556e-05,3.6517775557740766e-05,3.493500356490576e-05,4.062262404077004e-05,3.902731981066683e-05,3.324964436370414e-05,3.524537169606401e-05,3.6130412304919415e-05,3.4612874921658336e-05,3.5915220800512386e-05,3.6109978876228836e-05,3.180324448040328e-05
2019-01-26,3.6912977066555506e-05,3.339861369112059e-05,3.4323710743474515e-05,3.24170817703425e-05,3.622837484817978e-05,3.5712928365683176e-05,4.250163055708048e-05,3.233768519557523e-05,3.575798909029251e-05,3.538984148150608e-05,2.8451603553309452e-05,3.145962129407365e-05,3.746712718739804e-05,2.974745800440063e-05,3.347713012033665e-05
2019-01-27,3.434013989571177e-05,4.024865134555864e-05,4.179119592671822e-05,1.551675994546769e-05,4.5367312125132036e-05,3.4512073385611984e-05,1.683012605492062e-05,3.5566657370866676e-05,4.02807524902653e-05,4.223785799695179e-05,4.6708479099149446e-05,3.923373507699773e-05,3.938233478082574e-05,4.33759758647931e-05,4.1541738846894115e-05
2019-01-28,3.24369684935773e-05,2.8355014988574715e-05,3.118120138930687e-05,2.682736448678181e-05,2.967299168610371e-05,3.098371967130505e-05,2.722991885141034e-05,3.253375041529219e-05,3.190709659436089e-05,2.740471836922298e-05,2.743224642422261e-05,3.2139523888769414e-05,3.003488369776548e-05,2.7381933703227613e-05,3.4061913402024106e-05
2019-01-29,3.988528361588394e-05,5.684459827692675e-05,5.015785082033044e-05,3.376003260614337e-05,5.2736751132712626e-05,4.624657913321932e-05,3.386399501197396e-05,3.9061497004405104e-05,3.511394243105314e-05,5.3105335303607e-05,4.366951179690659e-05,3.703601595197003e-05,3.502281020586515e-05,4.981944035581019e-05,3.944808723183376e-05
2019-01-30,3.5244100275630284e-05,4.8462233202772825e-05,4.581267889047928e-05,2.097054057580985e-05,2.9768854718687123e-05,4.943633000408434e-05,2.722463964381688e-05,3.229346358953225e-05,1.5908982348553923e-05,3.6073756206704174e-05,4.038033992495338e-05,2.8869066953148084e-05,1.2560726168837469e-05,3.0915687190418364e-05,4.331376840127632e-05
2019-01-31,4.080607680990376e-05,3.858651360689564e-05,4.0062267773940185e-05,2.8638958085886993e-05,3.810408983871035e-05,4.541521382926555e-05,2.803590827579592e-05,4.436111083692814e-05,4.678399816134494e-05,3.7584072835424484e-05,4.584385405913125e-05,4.14333279184952e-05,4.630884327065823e-05,3.926276821946211e-05,3.920006967769298e-05
2019-02-01,3.752789204842621e-05,3.455387556601944e-05,4.1958964421059195e-05,3.3646196168207034e-05,3.331359525469055e-05,4.922101848702429e-05,3.509260829227569e-05,3.930925105110471e-05,4.52085163881902e-05,3.70614886663764e-05,3.573372305254452e-05,3.482703097022807e-05,3.672843174932259e-05,3.527737026573243e-05,4.009877611820144e-05
2019-02-02,3.165270175946869e-05,2.7543850128792294e-05,3.76634185079321e-05,2.911172702050502e-05,3.441566218662489e-05,3.81940662919078e-05,3.2412517717956634e-05,3.157139336295157e-05,2.654015379097346e-05,2.9085789892216743e-05,2.687372943910304e-05,3.126970257743136e-05,2.769033319853272e-05,2.779123397417861e-05,2.7651729227049463e-05
2019-02-03,3.2807616008997534e-05,3.865180728320707e-05,3.519999911756363e-05,3.0738299369871445e-05,2.9134787762779365e-05,3.351714815775277e-05,3.066178794044235e-05,3.029850157684466e-05,3.177597146026752e-05,3.058201647393949e-05,3.47379439541901e-05,3.489786879984785e-05,3.182003238426671e-05,3.070027478767011e-05,3.6688966608715255e-05
2019-02-04,3.013038235243094e-05,3.047114621738058e-05,3.0373545675309888e-05,2.997193204866574e-05,3.2625439469308946e-05,3.184851687831915e-05,2.9950395278832082e-05,3.094866889546983e-05,3.2230104637956084e-05,2.875357039035769e-05,3.330310458361358e-05,3.176703129257659e-05,3.0353960795928432e-05,3.328021210255679e-05,3.241376180085353e-05
2019-02-05,2.337533663989175e-05,2.9240578867267394e-05,3.700691125681663e-05,2.2457443404665722e-05,2.256714844044589e-05,3.0653334047161954e-05,3.220890252329987e-05,3.525493966769317e-05,2.536196129754736e-05,2.5594817649529974e-05,3.737679670313052e-05,2.9981344872843943e-05,2.9675939224924952e-05,2.216783008681545e-05,2.600302502641564e-05
2019-02-06,3.814816039898458e-05,4.006558798584355e-05,4.364027683832337e-05,4.6512335464061604e-05,3.826792531962842e-05,2.945815121600476e-05,5.0699791843514576e-05,4.0133453952771624e-05,3.306756269666536e-05,4.166817620305986e-05,4.145048882264746e-05,3.266080848434312e-05,3.4707148098380596e-05,4.2400960365220705e-05,3.72553786861353e-05
2019-02-07,2.970972283301643e-05,3.281366778096787e-05,3.787181849348164e-05,3.0341443609537823e-05,3.488324150354882e-05,2.826296838484756e-05,3.403093005400144e-05,3.1957418373833955e-05,3.4209725488001445e-05,3.068276395489652e-05,3.715789396104585e-05,3.510873657604105e-05,2.8496657250798307e-05,3.995192926343985e-05,3.326871614595978e-05
2019-02-08,3.397508813836303e-05,3.764408087370287e-05,3.9207105156678706e-05,3.376122607242419e-05,3.7928228729123004e-05,3.33038890134468e-05,3.6264035203165256e-05,3.543676155038849e-05,3.4419009045597296e-05,3.8035027210152e-05,3.772526928234471e-05,3.59157585549585e-05,3.220748850232997e-05,3.912228693354171e-05,3.495533457815685e-05
2019-02-09,3.8240453443709636e-05,4.247449396643787e-05,4.0542391819875765e-05,3.718100853531055e-05,4.0973215954697195e-05,3.8344809642046045e-05,3.849714035232907e-05,3.891610472694302e-05,3.462829260319314e-05,4.538729046540748e-05,3.829264460364356e-05,3.672278053387595e-05,3.591831975386163e-05,3.829264460364356e-05,3.664195301035393e-05
2019-02-10,4.057846512102163e-05,4.1079849335498895e-05,4.739205802229653e-05,4.207926921233385e-05,4.4018203180271386e-05,4.6607035132070514e-05,3.9230420865743076e-05,4.136321833797576e-05,4.8248198163547484e-05,5.2739553720662974e-05,4.372452712283398e-05,3.75298025127934e-05,5.063818130328113e-05,4.345499064482181e-05,3.8328571442551e-05
2019-02-11,3.266207593374441e-05,2.995399843821834e-05,3.358224074362951e-05,2.816009009155275e-05,3.736672416352379e-05,3.379275219409642e-05,2.836433113672033e-05,3.789475019203449e-05,3.132700363646747e-05,3.6959812310992034e-05,3.46578510448558e-05,2.4083605632958663e-05,3.483383820392847e-05,3.765833079460516e-05,2.761624839360286e-05
2019-02-12,3.379028836080627e-05,3.2113364255855997e-05,3.780559045274747e-05,3.290353798783376e-05,4.205624341204298e-05,2.563261719910353e-05,3.2520765529157074e-05,3.303817260357876e-05,2.8308470909340813e-05,4.387791341287084e-05,3.1337036350745244e-05,3.296614336288544e-05,2.863500272118419e-05,4.407130363153056e-05,3.953035020887581e-05
2019-02-13,3.182876767113451e-05,3.156570622663202e-05,3.224579303343338e-05,4.154621551114077e-05,3.24690125119226e-05,3.652748499742377e-05,4.219753192237455e-05,3.633076615824088e-05,3.675658782941384e-05,3.169678505329886e-05,3.322832525370838e-05,3.0731389214863905e-05,3.68294088548155e-05,3.169509681900049e-05,2.633781184751577e-05
2019-02-14,3.8499743983332845e-05,4.163343167877174e-05,3.489484747348625e-05,3.386975864253951e-05,3.9043036141751374e-05,3.512762850732542e-05,3.3869800972752266e-05,3.520144318458119e-05,3.385114545700367e-05,3.961963011533953e-05,3.516722862639431e-05,3.670644696535671e-05,3.3853512607622564e-05,3.90356668613622e-05,3.415044986123777e-05
2019-02-15,4.842716959593665e-05,4.6838454980651e-05,4.5613603194285805e-05,4.307513108535518e-05,4.01896351250793e-05,4.7994414423917324e-05,4.580625450350047e-05,4.528676924204865e-05,3.5749294586325e-05,5.0352197727542125e-05,5.02323980921425e-05,4.327110902801308e-05,3.41493133929728e-05,5.0574293488765145e-05,4.210591005092112e-05
2019-02-16,4.2399642573592065e-05,3.304768059173784e-05,4.004164807739699e-05,3.741689601767972e-05,3.250219407823239e-05,4.145103391794581e-05,4.330955681873503e-05,3.455380589492243e-05,3.200302650360093e-05,2.62023710641276e-05,4.383521405045755e-05,3.689078628674666e-05,2.353652274206255e-05,3.4867656505227666e-05,2.7590375942275542e-05
2019-02-17,3.740096408056199e-05,4.028060182621941e-05,3.4634771195740664e-05,3.76803754188737e-05,4.122112722243538e-05,3.328495222376659e-05,3.658295809333913e-05,3.968830680439692e-05,3.6687615054213204e-05,3.653130063881222e-05,4.560076743426195e-05,4.1026068507197565e-05,3.781389902560453e-05,4.086394335936225e-05,3.749278592687213e-05
2019-02-18,4.886410731401119e-05,4.751352306070097e-05,5.9582693275827154e-05,5.131449919149144e-05,4.994006036663838e-05,4.909822546813692e-05,5.134536807116876e-05,5.565389381679487e-05,4.560779447529414e-05,4.6860230213496834e-05,4.7366320818066354e-05,4.516135072764847e-05,4.860867336504435e-05,4.6860230213496834e-05,4.739519591146872e-05
2019-02-19,3.879866761065016e-05,3.796557529534985e-05,3.5630782551660255e-05,4.322488771590904e-05,3.696736500671345e-05,3.8284659240162e-05,5.163347004020087e-05,4.101587920566854e-05,2.6700368683212772e-05,3.839661853892204e-05,4.99276003106808e-05,3.659487199221393e-05,2.586054669829227e-05,4.7221779418910585e-05,3.9691982429755206e-05
2019-02-20,3.711880516328677e-05,3.523406504827015e-05,4.041965395303392e-05,3.261152301745642e-05,3.546981633463486e-05,3.821689017999197e-05,3.1827513181368025e-05,3.270548525876977e-05,3.821192793559044e-05,2.671950057192213e-05,4.369648740976117e-05,3.4242443584990823e-05,3.396668949249208e-05,3.974875689598477e-05,3.486960122245364e-05
2019-02-21,3.885148507912099e-05,3.582129647838883e-05,3.457433468197626e-05,3.827463808475998e-05,3.731902570581467e-05,4.696747134415183e-05,4.225913261941456e-05,3.690020081120256e-05,2.330745626829035e-05,3.5377474513002076e-05,3.205966543491552e-05,3.324441173748393e-05,2.5694172910965492e-05,3.195226338239387e-05,3.3862840525071706e-05
